GEO.id,GEO.id2,GEO.display-label,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M
0600000US0900735230,900735230,"Haddam town, Middlesex County, Connecticut",6127,283,3132,207,11,17,0,18,30,31,0,18,16,25,10,22,57,72,48,40,562,144,125,64,372,135,387,176,775,188,596,227,131,99,12,18,2995,240,0,18,0,18,0,18,48,41,0,18,44,58,0,18,17,25,756,192,124,60,180,100,442,147,768,171,500,172,48,59,68,60
0600000US0900740710,900740710,"Killingworth town, Middlesex County, Connecticut",4711,220,2155,190,0,18,0,18,0,18,13,20,0,18,0,18,0,18,0,18,609,223,108,70,177,95,131,77,581,181,329,104,154,90,53,50,2556,191,0,18,0,18,40,59,0,18,0,18,0,18,0,18,14,23,540,199,105,64,313,206,300,128,631,204,463,152,111,74,39,42
0600000US0900747080,900747080,"Middlefield town, Middlesex County, Connecticut",3327,155,1615,116,2,4,0,13,17,19,0,13,13,17,10,16,7,10,11,17,588,134,152,65,110,63,127,75,306,83,242,77,17,21,13,20,1712,130,13,19,0,13,0,13,0,13,12,18,0,13,0,13,13,20,639,206,85,45,143,79,275,109,211,71,216,71,69,41,36,34
0600000US0900747360,900747360,"Middletown town, Middlesex County, Connecticut",32364,589,15430,455,164,116,21,20,80,45,109,105,240,128,194,93,197,95,212,83,4182,364,865,239,1669,307,984,289,3696,549,1809,279,496,196,512,150,16934,453,64,51,68,74,23,26,182,84,204,122,156,71,108,73,94,68,4619,549,873,209,2509,380,1651,344,3762,429,1893,288,361,129,367,125
0600000US0900757320,900757320,"Old Saybrook town, Middlesex County, Connecticut",7785,347,3282,214,4,9,1,3,1,4,43,41,26,39,8,13,0,20,0,20,663,159,231,101,345,114,254,119,859,236,606,138,173,83,68,45,4503,259,4,7,0,20,36,52,11,14,13,23,29,29,23,36,45,47,1005,258,256,114,313,128,557,253,1210,277,784,204,156,81,61,53
0600000US0900761800,900761800,"Portland town, Middlesex County, Connecticut",6687,244,3123,204,25,38,10,15,12,27,68,58,18,27,30,36,134,94,21,21,698,190,153,78,513,273,433,141,721,172,122,64,89,97,76,76,3564,192,0,18,0,18,0,18,21,33,10,15,48,64,56,42,39,49,928,162,249,108,351,129,389,128,894,234,463,180,45,51,71,59
0600000US0900781680,900781680,"Westbrook town, Middlesex County, Connecticut",5712,247,2546,263,0,18,0,18,0,18,28,34,306,254,55,63,0,18,0,18,523,150,107,78,234,120,201,95,643,170,281,119,122,93,46,43,3166,276,12,20,0,18,25,38,59,56,0,18,0,18,0,18,0,18,677,212,129,114,466,231,138,87,956,230,521,261,69,63,114,88
0600000US0900900000,900900000,"County subdivisions not defined, New Haven County, Connecticut",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0900901220,900901220,"Ansonia town, New Haven County, Connecticut",14196,563,6552,497,40,28,122,146,90,98,52,52,45,53,164,121,64,61,90,90,2706,442,694,217,770,210,396,177,837,236,399,148,44,40,39,44,7644,553,50,57,96,105,8,14,305,201,14,23,126,97,216,117,132,79,2611,515,654,232,858,188,615,246,1070,228,670,214,154,129,65,49
0600000US0900903250,900903250,"Beacon Falls town, New Haven County, Connecticut",4607,212,2340,222,0,18,0,18,0,18,21,33,18,27,17,30,0,18,81,77,721,212,192,134,310,139,174,112,533,181,167,97,53,48,53,46,2267,163,0,18,0,18,0,18,0,18,0,18,0,18,33,39,11,19,746,218,165,95,149,87,292,118,410,149,402,161,43,51,16,26
0600000US0900904580,900904580,"Bethany town, New Haven County, Connecticut",3867,358,1839,289,0,18,0,18,0,18,14,22,0,18,75,112,9,14,22,30,414,163,76,65,251,138,38,39,538,170,260,129,71,65,71,60,2028,151,2,4,0,18,0,18,24,32,33,52,50,61,0,18,15,24,463,161,63,71,222,128,106,64,443,178,362,172,204,166,41,52
0600000US0900907310,900907310,"Branford town, New Haven County, Connecticut",21961,569,10225,497,55,54,9,13,16,19,18,19,10,12,71,62,39,31,90,57,3167,455,358,146,1492,370,435,177,2688,385,880,211,412,118,485,158,11736,472,42,35,33,31,28,29,68,39,146,128,45,52,35,38,120,66,2844,425,623,233,1256,277,760,182,2866,508,2115,324,486,126,269,121
0600000US0900914160,900914160,"Cheshire town, New Haven County, Connecticut",20869,576,10529,384,35,41,0,24,24,26,120,55,109,58,124,61,120,54,186,138,2095,314,371,120,1035,214,705,164,2942,404,1661,242,428,132,574,196,10340,440,288,238,15,25,0,24,19,23,35,35,23,24,16,18,145,86,1731,287,273,118,835,196,859,170,3223,416,2167,364,479,148,232,148
0600000US0900919550,900919550,"Derby town, New Haven County, Connecticut",9830,483,4507,434,17,25,6,11,62,91,34,48,0,20,22,34,24,39,65,105,1880,425,152,88,596,252,562,219,666,231,276,228,13,27,132,179,5323,439,64,51,0,20,0,20,117,122,119,95,214,169,114,101,59,44,1770,458,335,170,555,186,589,250,888,317,318,218,163,132,18,29
0600000US0900922910,900922910,"East Haven town, New Haven County, Connecticut",20324,713,9347,510,72,46,73,87,37,52,68,45,141,163,117,77,175,95,310,137,4139,482,572,157,1021,295,579,173,1475,306,391,112,135,65,42,33,10977,461,152,72,54,52,67,60,103,66,111,71,155,101,136,136,55,30,4582,476,693,180,1313,298,990,234,1521,274,831,178,95,55,119,86
0600000US0900934950,900934950,"Guilford town, New Haven County, Connecticut",16169,450,7820,341,15,13,14,20,0,24,69,60,27,38,121,58,65,42,94,64,1291,231,335,111,733,186,654,216,2159,303,1140,222,538,136,565,203,8349,355,9,13,0,24,16,20,9,14,10,16,6,10,59,54,111,78,1378,276,340,112,729,213,709,313,2194,341,2040,275,497,150,242,90
0600000US0900935650,900935650,"Hamden town, New Haven County, Connecticut",39873,713,18417,620,165,114,5,12,43,36,116,78,82,56,39,37,287,157,255,154,5313,708,762,190,1962,333,1088,239,4078,540,2282,328,1209,313,731,169,21456,748,205,111,49,53,132,94,60,39,62,36,115,67,311,160,426,196,4745,518,846,176,2699,404,1750,355,4544,561,3894,497,874,264,744,194
0600000US0900944560,900944560,"Madison town, New Haven County, Connecticut",12951,504,6024,330,0,20,0,20,12,20,8,17,61,99,32,36,9,14,16,22,1035,261,167,75,469,156,195,83,1963,338,1214,264,625,167,218,87,6927,362,0,20,0,20,0,20,0,20,0,20,77,71,18,23,19,20,891,200,226,80,599,156,565,166,2687,411,1433,253,298,135,114,61
0600000US0900946520,900946520,"Meriden town, New Haven County, Connecticut",42710,840,19406,787,283,101,151,88,338,159,392,155,234,107,669,225,292,188,431,176,7533,582,1214,360,2424,491,1180,243,2707,452,900,244,444,172,214,125,23304,778,280,108,210,110,361,136,485,158,453,269,569,230,466,224,434,184,8001,735,1508,299,3304,555,2197,372,3283,463,1255,288,340,144,158,98
0600000US0900946940,900946940,"Middlebury town, New Haven County, Connecticut",5638,263,2546,182,26,31,0,18,0,18,62,57,18,19,9,14,0,18,20,23,583,187,133,59,150,70,160,74,730,172,429,109,210,88,16,18,3092,265,26,30,0,18,0,18,12,16,30,36,11,13,2,5,11,17,444,121,170,76,312,150,549,317,736,158,594,133,151,78,44,40
0600000US0900947535,900947535,"Milford town, New Haven County, Connecticut",41245,859,19403,613,55,47,16,23,17,24,148,67,119,138,169,86,84,62,276,116,4843,490,1009,231,2654,336,1136,235,5382,553,2401,358,769,179,325,110,21842,667,122,112,81,79,59,47,129,76,38,34,226,113,50,35,341,135,5015,496,1303,261,2318,361,2282,360,5368,447,3258,354,849,242,403,131
0600000US0900949950,900949950,"Naugatuck town, New Haven County, Connecticut",22190,803,11105,685,97,65,6,10,43,54,214,207,26,42,178,114,279,147,150,90,3051,397,807,350,2018,471,805,212,2206,432,991,308,24,31,210,158,11085,597,264,156,91,87,23,35,278,199,21,30,87,73,106,70,76,54,3366,487,749,214,1387,372,1398,305,1613,343,1283,266,222,213,121,134
0600000US0900952070,900952070,"New Haven town, New Haven County, Connecticut",80999,1426,37038,1258,515,188,254,121,799,265,915,326,1203,448,735,192,840,204,776,227,12623,900,1481,285,3616,610,1065,271,5752,648,3223,375,1425,230,1816,272,43961,1260,633,178,435,213,722,287,1187,372,781,249,632,226,777,218,484,153,12795,1003,1528,295,4939,634,2716,423,7184,938,5686,854,1733,270,1729,350
0600000US0900953890,900953890,"North Branford town, New Haven County, Connecticut",10520,448,5276,312,3,6,0,20,0,20,0,20,59,52,111,88,20,35,79,76,2185,336,280,131,636,212,235,109,1179,337,252,119,163,112,74,75,5244,383,4,8,0,20,48,60,1,3,1,4,12,19,28,31,86,73,1582,328,295,105,700,229,436,164,1164,261,708,193,69,52,110,75
0600000US0900954870,900954870,"North Haven town, New Haven County, Connecticut",17584,355,8240,370,32,36,0,24,2,4,22,27,21,32,69,49,82,58,84,64,2558,370,468,203,951,235,386,128,2106,432,821,190,366,144,272,117,9344,354,38,40,7,10,31,53,33,32,50,54,51,42,62,62,116,84,2692,395,480,157,747,192,552,177,2257,290,1740,320,346,143,142,81
0600000US0900957600,900957600,"Orange town, New Haven County, Connecticut",9704,373,4453,260,27,43,2,6,0,20,13,17,10,13,15,23,14,19,49,33,779,197,219,80,370,114,233,89,1220,186,1008,179,316,105,178,77,5251,234,1,3,8,12,0,20,16,18,3,6,18,22,19,19,19,21,881,180,125,60,573,164,445,125,1556,226,1174,190,348,131,65,33
0600000US0900958300,900958300,"Oxford town, New Haven County, Connecticut",9553,491,4701,376,13,22,0,20,0,20,28,30,0,20,14,27,93,84,31,36,1336,292,171,105,719,263,331,144,1119,250,737,193,74,87,35,39,4852,351,37,41,39,43,21,32,32,36,0,20,18,30,53,66,38,45,1077,277,376,195,599,304,595,177,889,212,904,277,143,111,31,35
0600000US0900962290,900962290,"Prospect town, New Haven County, Connecticut",7123,281,3377,230,27,22,0,18,51,58,0,18,0,18,0,18,30,29,50,43,1064,249,269,156,369,178,334,115,651,183,389,175,117,80,26,31,3746,254,15,21,0,18,33,47,108,69,9,19,38,35,0,18,11,18,1158,268,241,107,399,190,478,137,543,148,496,145,165,101,52,42
