GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35
Id2,Id,Geography,Estimate;  Total: ,Margins of Error;  Total: ,Estimate;  Male: ,Margins of Error;  Male: ,Estimate;  Male: No schooling completed ,Margins of Error;  Male: No schooling completed ,Estimate;  Male: Nursery to 4th grade ,Margins of Error;  Male: Nursery to 4th grade ,Estimate;  Male: 5th and 6th grade ,Margins of Error;  Male: 5th and 6th grade ,Estimate;  Male: 7th and 8th grade ,Margins of Error;  Male: 7th and 8th grade ,Estimate;  Male: 9th grade ,Margins of Error;  Male: 9th grade ,Estimate;  Male: 10th grade ,Margins of Error;  Male: 10th grade ,Estimate;  Male: 11th grade ,Margins of Error;  Male: 11th grade ,"Estimate;  Male: 12th grade, no diploma ","Margins of Error;  Male: 12th grade, no diploma ","Estimate;  Male: High school graduate, GED, or alternative ","Margins of Error;  Male: High school graduate, GED, or alternative ","Estimate;  Male: Some college, less than 1 year ","Margins of Error;  Male: Some college, less than 1 year ","Estimate;  Male: Some college, 1 or more years, no degree ","Margins of Error;  Male: Some college, 1 or more years, no degree ",Estimate;  Male: Associate's degree ,Margins of Error;  Male: Associate's degree ,Estimate;  Male: Bachelor's degree ,Margins of Error;  Male: Bachelor's degree ,Estimate;  Male: Master's degree ,Margins of Error;  Male: Master's degree ,Estimate;  Male: Professional school degree ,Margins of Error;  Male: Professional school degree ,Estimate;  Male: Doctorate degree ,Margins of Error;  Male: Doctorate degree ,Estimate;  Female: ,Margins of Error;  Female: ,Estimate;  Female: No schooling completed ,Margins of Error;  Female: No schooling completed ,Estimate;  Female: Nursery to 4th grade ,Margins of Error;  Female: Nursery to 4th grade ,Estimate;  Female: 5th and 6th grade ,Margins of Error;  Female: 5th and 6th grade ,Estimate;  Female: 7th and 8th grade ,Margins of Error;  Female: 7th and 8th grade ,Estimate;  Female: 9th grade ,Margins of Error;  Female: 9th grade ,Estimate;  Female: 10th grade ,Margins of Error;  Female: 10th grade ,Estimate;  Female: 11th grade ,Margins of Error;  Female: 11th grade ,"Estimate;  Female: 12th grade, no diploma ","Margins of Error;  Female: 12th grade, no diploma ","Estimate;  Female: High school graduate, GED, or alternative ","Margins of Error;  Female: High school graduate, GED, or alternative ","Estimate;  Female: Some college, less than 1 year ","Margins of Error;  Female: Some college, less than 1 year ","Estimate;  Female: Some college, 1 or more years, no degree ","Margins of Error;  Female: Some college, 1 or more years, no degree ",Estimate;  Female: Associate's degree ,Margins of Error;  Female: Associate's degree ,Estimate;  Female: Bachelor's degree ,Margins of Error;  Female: Bachelor's degree ,Estimate;  Female: Master's degree ,Margins of Error;  Female: Master's degree ,Estimate;  Female: Professional school degree ,Margins of Error;  Female: Professional school degree ,Estimate;  Female: Doctorate degree ,Margins of Error;  Female: Doctorate degree 
0900174190,06000US0900174190,"Stratford town, Fairfield County, Connecticut",37841,485,17327,446,94,57,107,79,185,87,406,165,86,57,279,92,196,105,434,126,6047,425,921,225,2231,273,1056,212,3374,338,1481,220,334,143,96,54,20514,427,172,84,129,75,280,108,248,86,156,71,293,110,397,147,300,118,6362,390,1413,216,2593,329,1845,224,3909,352,2002,244,323,101,92,48
0900177200,06000US0900177200,"Trumbull town, Fairfield County, Connecticut",24819,381,11629,330,46,32,13,16,14,18,192,77,88,60,77,46,77,77,69,44,2385,328,351,115,1053,200,813,206,3449,272,2071,205,644,141,287,91,13190,314,107,65,16,20,135,70,181,80,76,55,177,87,133,58,164,78,2725,301,554,136,1629,262,1043,171,3655,294,2191,242,259,79,145,61
0900183430,06000US0900183430,"Weston town, Fairfield County, Connecticut",6334,176,3093,125,0,19,18,29,0,19,7,11,0,19,0,19,0,19,35,53,121,55,91,46,97,53,10,15,1248,148,833,125,536,112,97,51,3241,127,0,19,0,19,0,19,0,19,0,19,5,8,8,14,0,19,211,87,67,37,213,77,129,63,1389,153,918,134,219,65,82,46
0900183500,06000US0900183500,"Westport town, Fairfield County, Connecticut",17979,318,8440,314,28,27,0,22,0,22,37,31,0,22,37,47,55,49,24,29,859,176,137,97,506,157,178,66,2934,312,2347,257,934,191,364,104,9539,211,11,16,0,22,89,74,11,13,21,24,20,23,32,45,0,22,1220,217,210,81,611,130,290,82,3894,311,2436,231,516,126,178,72
0900186370,06000US0900186370,"Wilton town, Fairfield County, Connecticut",11723,257,5522,195,44,43,7,10,9,14,0,19,6,14,6,13,30,24,10,16,215,84,167,65,319,71,152,71,2335,221,1508,175,550,115,164,87,6201,213,20,25,10,15,49,51,18,13,11,18,0,19,0,19,11,13,497,109,179,92,556,163,507,139,2462,206,1314,173,464,108,103,55
0900302060,06000US0900302060,"Avon town, Hartford County, Connecticut",12850,259,6009,248,9,9,0,19,27,33,2,5,19,31,7,16,7,16,23,32,666,184,140,82,324,100,291,102,2065,231,1390,229,759,150,280,87,6841,193,24,30,22,31,8,16,30,33,31,42,50,44,26,24,40,37,773,172,244,95,664,169,601,168,2679,223,1167,203,353,98,129,77
0900304300,06000US0900304300,"Berlin town, Hartford County, Connecticut",14796,268,7246,282,104,78,69,79,20,29,50,64,59,61,58,48,68,57,68,50,2099,298,473,180,810,189,637,188,1763,325,588,172,257,115,123,62,7550,262,113,76,11,18,55,64,66,69,39,37,32,36,90,78,52,45,1938,285,506,133,945,217,840,196,1689,256,933,189,146,95,95,63
0900305910,06000US0900305910,"Bloomfield town, Hartford County, Connecticut",15831,416,7095,405,73,64,18,24,28,27,96,57,104,87,125,76,129,82,181,91,2350,318,363,121,914,211,349,128,1438,239,527,164,218,95,182,84,8736,294,32,30,30,27,41,33,131,62,63,47,103,67,79,60,154,70,2202,254,435,132,1239,269,871,201,1875,275,1186,221,227,95,68,47
0900308490,06000US0900308490,"Bristol town, Hartford County, Connecticut",43135,714,20394,500,126,64,114,108,171,89,438,197,211,116,515,174,415,157,315,133,7640,513,1438,273,2689,326,1208,211,3654,407,1105,211,245,95,110,66,22741,631,231,107,43,38,202,81,525,176,304,127,380,127,513,221,261,103,8152,585,1908,287,2775,304,2326,330,3249,450,1544,205,240,88,88,53
0900310100,06000US0900310100,"Burlington town, Hartford County, Connecticut",6349,203,3095,151,0,17,0,17,9,22,16,22,9,15,9,14,13,21,7,12,709,136,210,74,428,103,322,111,856,146,350,101,119,58,38,32,3254,206,8,13,0,17,0,17,16,19,0,17,10,16,23,25,50,36,658,140,160,69,416,112,386,110,965,154,441,106,64,38,57,46
0900312270,06000US0900312270,"Canton town, Hartford County, Connecticut",7292,225,3541,179,11,18,8,12,34,49,31,29,9,14,55,53,33,43,23,30,777,187,81,56,505,117,106,49,1118,192,460,166,203,89,87,53,3751,176,23,25,15,24,0,19,22,22,11,18,18,23,49,34,0,19,726,174,298,105,515,175,351,115,881,156,666,162,116,95,60,42
0900322070,06000US0900322070,"East Granby town, Hartford County, Connecticut",3689,126,1763,133,20,32,0,17,0,17,53,48,16,25,11,18,34,50,16,26,373,118,160,82,230,109,144,86,390,136,267,93,49,44,0,17,1926,143,0,17,0,17,0,17,0,17,0,17,0,17,21,31,0,17,372,125,118,72,163,81,294,134,613,128,270,110,61,57,14,23
0900322630,06000US0900322630,"East Hartford town, Hartford County, Connecticut",35503,625,16239,577,310,148,178,112,232,122,322,120,517,203,234,94,332,135,520,180,6042,521,990,214,2304,339,1050,252,2174,304,755,189,193,70,86,45,19264,541,250,134,262,202,256,114,528,151,361,129,626,223,333,107,450,141,5952,437,1399,232,3263,405,2065,345,2244,339,1015,229,174,65,86,61
0900324800,06000US0900324800,"East Windsor town, Hartford County, Connecticut",8300,445,3846,334,33,39,0,19,12,20,7,13,42,38,63,79,57,69,83,66,1615,283,236,106,395,143,391,161,618,148,238,148,56,54,0,19,4454,333,26,31,0,19,24,31,56,51,58,64,84,56,21,26,33,27,1469,238,377,138,697,176,331,116,651,193,593,190,13,22,21,36
